rowid,suburb_name,state,postcode,candidate_ssc,score,norm_key,matched_canonical_key
29298,MAMBOURIN,NSW,,13488,77,MAMBOURIN|NSW,NAREMBURN|NSW
29298,MAMBOURIN,NSW,,21895,77,MAMBOURIN|NSW,MAMBOURIN|VIC
29300,MANOR LAKES,NSW,,12716,81,MANOR LAKES|NSW,LAKE MUNMORAH|NSW
29300,MANOR LAKES,NSW,,21904,80,MANOR LAKES|NSW,MANOR LAKES|VIC
29300,MANOR LAKES,NSW,,12722,79,MANOR LAKES|NSW,LAKESLAND|NSW
29302,MOUNT COTTRELL,NSW,,22152,83,MOUNT COTTRELL|NSW,MOUNT COTTRELL|VIC
29302,MOUNT COTTRELL,NSW,,13311,80,MOUNT COTTRELL|NSW,MOUNT BURRELL|NSW
29302,MOUNT COTTRELL,NSW,,13313,80,MOUNT COTTRELL|NSW,MOUNT COLLINS|NSW
29304,WYNDHAM VALE,NSW,,15497,81,WYNDHAM VALE|NSW,WYNDHAM|NSW
29304,WYNDHAM VALE,NSW,,51891,77,WYNDHAM VALE|NSW,WYNDHAM|WA
29304,WYNDHAM VALE,NSW,,23471,75,WYNDHAM VALE|NSW,WYNDHAM VALE|VIC
29306,ALTONA EAST,NSW,,11630,84,ALTONA EAST|NSW,EAST BALLINA|NSW
29306,ALTONA EAST,NSW,,11632,81,ALTONA EAST|NSW,EAST BRANXTON|NSW
29306,ALTONA EAST,NSW,,20038,80,ALTONA EAST|NSW,ALTONA EAST|VIC
29308,ALTONA GATE,NSW,,20039,80,ALTONA GATE|NSW,ALTONA GATE|VIC
29308,ALTONA GATE,NSW,,10055,76,ALTONA GATE|NSW,ALSTONVALE|NSW
29308,ALTONA GATE,NSW,,10543,76,ALTONA GATE|NSW,BOGAN GATE|NSW
29312,DERRIMUT,NSW,,10396,78,DERRIMUT|NSW,BERRIMA|NSW
29312,DERRIMUT,NSW,,20894,75,DERRIMUT|NSW,DERRIMUT|VIC
29312,DERRIMUT,NSW,,11509,73,DERRIMUT|NSW,DEWITT|NSW
29316,LAVERTON RAAF,NSW,,50951,79,LAVERTON RAAF|NSW,LAVERTON|WA
29316,LAVERTON RAAF,NSW,,21770,76,LAVERTON RAAF|NSW,LAVERTON RAAF|VIC
29316,LAVERTON RAAF,NSW,,12755,71,LAVERTON RAAF|NSW,LAVERSTOCK|NSW
