ssc,suburb_name,state,postcodes
10222,BUANGOR,NSW,2234
10223,BANKSIA,NSW,2216
10224,BANKSMEADOW,NSW,2019
10225,FRANKSTON,NSW,1885
10226,BANKSTOWN,NSW,1888
10227,BANKSTOWN,NSW,2200
10228,BANKSTOWN AERODROME,NSW,2200
10229,BANKSTOWN AIRPORT,NSW,2200
10230,FRANKSTON NORTH,NSW,2200
10231,BANKSTOWN SQUARE,NSW,2200
10232,BANYENA,NSW,2580
10233,BANNISTER,NSW,2580
10234,BANOON,NSW,2347
10235,BANORA POINT,NSW,2486
10236,BANYABBA,NSW,2460
10237,BANYABBA,NSW,2469
10238,BAR BEACH,NSW,2300
10239,BAR POINT,NSW,2083
10240,LARA,NSW,2850
10241,BARADINE,NSW,2396
10242,BRIMBOAL,NSW,2470
10243,BARONGAROOK,NSW,2000
10244,NARINGAL,NSW,2830
10245,BARCOONGERE,NSW,2460
10246,BARDEN RIDGE,NSW,2234
10247,BARDIA,NSW,2565
10248,BELL PARK,NSW,2207
10249,BARDWELL VALLEY,NSW,2207
10250,BARELLAN,NSW,2665
10251,BARGO,NSW,2574
10252,BARHAM,NSW,2732
10253,CARDIGAN,NSW,2850
10254,BARKERS VALE,NSW,2474
10255,BARMEDMAN,NSW,2668
10256,BARNEYS REEF,NSW,2852
10257,BURNLEY,NSW,2278
10258,BAROOGA,NSW,3644
10259,BARRABA,NSW,2347
10260,BARRACK HEIGHTS,NSW,2528
10261,BARRACK POINT,NSW,2528
10262,BARRAGANYATTI,NSW,2441
10263,BARRAGGA BAY,NSW,2546
10264,BARRALLIER,NSW,2575
10265,BARRATTA,NSW,2710
10266,BARREN GROUNDS,NSW,2577
10267,BARRENGARRY,NSW,2577
10268,BARRETTS CREEK,NSW,2460
10269,BARRINGELLA,NSW,2540
10270,BARRINGTON,NSW,2422
10271,BARRINGTON TOPS,NSW,2422
10272,BARRINGUN,NSW,2840
10273,BARRY,NSW,2340
10274,BARRY,NSW,2799
10275,BARWANG,NSW,2594
10276,BARWON,NSW,2396
10277,BARYULGIL,NSW,2460
10278,BASIN PLAIN,NSW,2380
10279,BASIN VIEW,NSW,2540
10280,BASS HILL,NSW,2197
10281,BASSENDEAN,NSW,2365
10282,BATAR CREEK,NSW,2439
