rowid,suburb_name,state,postcode,ssc,candidate_ssc1,candidate_ssc2,candidate_ssc3,score1,score2,score3,matched_canonical_key1,matched_canonical_key2,matched_canonical_key3
30186,BELL POST HILL,NSW,,,20233,13925,10336,78,75,74,BELL POST HILL|VIC,POTTS HILL|NSW,BELLEVUE HILL|NSW
30188,DRUMCONDRA,NSW,,,20953,11592,11569,79,75,74,DRUMCONDRA|VIC,DUNDAS|NSW,DRUMMOYNE|NSW
30213,WAURN PONDS,NSW,,,14205,15209,14700,79,77,73,SAUMAREZ PONDS|NSW,WATTLE PONDS|NSW,TAREN POINT|NSW
30256,CERES,NSW,,,11124,11302,10917,78,78,76,CLARE|NSW,COREE|NSW,CAERLEON|NSW
30258,GEELONG MC,NSW,,,21157,10690,11892,79,77,75,GEELONG MC|VIC,BREELONG|NSW,GALONG|NSW
30260,GNARWARRE,NSW,,,13484,13505,10107,78,78,77,NARARA|NSW,NARWEE|NSW,ARRAWARRA|NSW
30264,KENNETT RIVER,NSW,,,21594,12840,13356,76,73,73,KENNETT RIVER|VIC,LITTLE RIVER|NSW,MOUNT RIVERS|NSW
30270,STAUGHTON VALE,NSW,,,22846,14475,14244,78,77,76,STAUGHTON VALE|VIC,SWAN VALE|NSW,SHANNON VALE|NSW
30279,CLIFTON SPRINGS,NSW,,,20686,10424,12464,79,76,76,CLIFTON SPRINGS|VIC,BIG SPRINGS|NSW,JORDAN SPRINGS|NSW
30284,MANNERIM,NSW,,,12966,12996,13420,76,76,76,MANAR|NSW,MARDI|NSW,MUNNI|NSW
30293,LEOPOLD,NSW,,,12013,12723,10069,78,78,75,GLENWOOD|NSW,LAKEWOOD|NSW,ANGLEDOOL|NSW
30307,CONNEWARRE,NSW,,,20743,11228,11225,79,77,75,CONNEWARRE|VIC,CONGEWAI|NSW,CONEAC|NSW
30313,JAN JUC,NSW,,,21507,10072,12456,73,70,67,JAN JUC|VIC,ANGUS|NSW,JOADJA|NSW
30331,CAPE OTWAY,NSW,,,20567,13900,10951,71,69,67,CAPE OTWAY|VIC,POINT CLARE|NSW,CAMDEN SOUTH|NSW
30334,PETTICOAT CREEK,NSW,,,13906,22470,13819,79,79,78,POLA CREEK|NSW,PETTICOAT CREEK|VIC,PEACOCK CREEK|NSW
30346,PENNYROYAL,NSW,,,13846,13908,13959,72,72,72,PENROSE|NSW,POMEROY|NSW,PYRAMUL|NSW
30388,MODEWARRE,NSW,,,22064,10941,13280,77,74,73,MODEWARRE|VIC,CAMBEWARRA|NSW,MOREE|NSW
30394,PARAPARAP,NSW,,,15526,13792,13790,78,76,75,YARARA|NSW,PARA|NSW,PANUARA|NSW
30402,WINCHELSEA,NSW,,,23373,15355,51853,79,77,74,WINCHELSEA|VIC,WINDELLA|NSW,WINCHESTER|WA
30406,WURDIBOLUC,NSW,,,23461,15044,15047,79,70,70,WURDIBOLUC|VIC,URILA|NSW,UROLY|NSW
30416,WARNCOORT,NSW,,,15185,15155,23249,78,77,77,WARROO|NSW,WARKWORTH|NSW,WARNCOORT|VIC
30434,DREEITE,NSW,,,11492,11509,11776,78,76,76,DELEGATE|NSW,DEWITT|NSW,EXETER|NSW
30450,ONDIT,NSW,,,13911,13715,13744,78,74,74,PONTO|NSW,OLINDA|NSW,OURNIE|NSW
30452,PIRRON YALLOCK,NSW,,,22493,15564,14141,78,71,69,PIRRON YALLOCK|VIC,YELLOW PINCH|NSW,ROYALLA|NSW
30454,POMBORNEIT EAST,NSW,,,22506,13729,11649,79,76,72,POMBORNEIT EAST|VIC,ORANGE EAST|NSW,EAST TAMWORTH|NSW
30456,SWAN MARSH,NSW,,,14176,14382,14473,77,77,77,SALT ASH|NSW,ST MARYS|NSW,SWAN BAY|NSW
30458,TANYBRYN,NSW,,,14682,14671,14692,75,73,73,TANNABAR|NSW,TAMBAN|NSW,TARANA|NSW
30474,ELLIMINYT,NSW,,,21026,13321,10341,77,76,75,ELLIMINYT|VIC,MOUNT ELLIOT|NSW,BELMONT|NSW
30495,CARPENDEIT,NSW,,,20600,11126,10983,79,77,75,CARPENDEIT|VIC,CLARENCE|NSW,CAPEEN|NSW
30497,CHOCOLYN,NSW,,,11204,10186,10741,78,75,75,COLYTON|NSW,BALCOLYN|NSW,BROOKLYN|NSW
30499,GNOTUK,NSW,,,12023,12007,12066,74,73,73,GOCUP|NSW,GLENROCK|NSW,GOSTWYCK|NSW
30511,SKIBO,NSW,,,14972,14444,15389,75,74,71,UKI|NSW,STUBBO|NSW,WOKO|NSW
30515,STONYFORD,NSW,,,13741,14150,14421,78,77,77,OTFORD|NSW,RUNNYFORD|NSW,STRATFORD|NSW
30519,TESBURY,NSW,,,14121,15280,14173,78,76,75,ROTHBURY|NSW,WESTBY|NSW,SALISBURY|NSW
30529,DIXIE,NSW,,,10453,13158,11506,74,74,71,BINGIE|NSW,MILLIE|NSW,DEUA|NSW
30531,ECKLIN SOUTH,NSW,,,10343,14303,12537,79,79,76,BELMONT SOUTH|NSW,SOUTH BALLINA|NSW,KENTUCKY SOUTH|NSW
30559,THE SISTERS,NSW,,,14788,14789,14782,76,76,74,THE SHADES|NSW,THE SLOPES|NSW,THE RISK|NSW
30573,JANCOURT,NSW,,,10071,21508,10222,75,75,73,ANGOURIE|NSW,JANCOURT|VIC,BANGOR|NSW
30577,NAROGHID,NSW,,,22273,11011,11952,75,73,73,NAROGHID|VIC,CARODA|NSW,GINGHI|NSW
30590,CURDIE VALE,NSW,,,10517,11491,11723,79,79,79,BLUE VALE|NSW,DEER VALE|NSW,ERIN VALE|NSW
30594,CURDIEVALE,NSW,,,20830,11386,11309,79,78,77,CURDIEVALE|VIC,CUDAL|NSW,CORNDALE|NSW
30604,NIRRANDA SOUTH,NSW,,,14324,14321,22343,79,78,78,SOUTH NOWRA|NSW,SOUTH MAITLAND|NSW,NIRRANDA SOUTH|VIC
30606,NULLAWARRE,NSW,,,15329,15175,14923,76,75,74,WILLAWARRIN|NSW,WARREN|NSW,TULLAMORE|NSW
30608,NULLAWARRE EAST,NSW,,,22381,11651,11647,79,74,69,NULLAWARRE EAST|VIC,EAST WARDELL|NSW,EAST RYDE|NSW
30618,TIMBOON WEST,NSW,,,23044,15274,15271,75,73,71,TIMBOON WEST|VIC,WEST TAMWORTH|NSW,WEST PYMBLE|NSW
30620,PORT CAMPBELL,NSW,,,22519,13915,10960,76,75,73,PORT CAMPBELL|VIC,PORT KEMBLA|NSW,CAMPBELLTOWN|NSW
30626,PETERBOROUGH,NSW,,,13798,14211,14389,79,77,77,PARKESBOROUGH|NSW,SCARBOROUGH|NSW,STANBOROUGH|NSW
30631,PURA PURA,NSW,,,13792,13790,15043,76,75,75,PARA|NSW,PANUARA|NSW,URIARRA|NSW
30661,PURNIM WEST,NSW,,,15271,22552,13744,73,73,72,WEST PYMBLE|NSW,PURNIM WEST|VIC,OURNIE|NSW
30690,KIRKSTALL,NSW,,,12552,21641,12620,78,77,75,KIALLA|NSW,KIRKSTALL|VIC,KIRKHAM|NSW
30704,YARPTURK,NSW,,,14203,15525,15527,76,76,76,SATUR|NSW,YAOUK|NSW,YARRA|NSW
30708,PORT FAIRY,NSW,,,13913,10239,13914,76,74,73,PORT BOTANY|NSW,BAR POINT|NSW,PORT HACKING|NSW
30720,TYRENDARRA EAST,NSW,,,23139,11648,14013,79,71,70,TYRENDARRA EAST|VIC,EAST SEAHAM|NSW,RAYMOND TERRACE EAST|NSW
30724,CONDAH SWAMP,NSW,,,20740,10479,13205,75,71,71,CONDAH SWAMP|VIC,BLACK SWAMP|NSW,MOGGS SWAMP|NSW
30730,RIPPONHURST,NSW,,,13847,14091,13687,79,79,74,PENSHURST|NSW,ROOKHURST|NSW,OAKHURST|NSW
30738,GAZETTE,NSW,,,11742,12089,12314,73,73,73,ETTREMA|NSW,GRATTAI|NSW,HOLGATE|NSW
30760,MOUTAJUP,NSW,,,22193,13274,13295,75,73,73,MOUTAJUP|VIC,MOOTAI|NSW,MORUYA|NSW
30762,VICTORIA POINT,NSW,,,33629,23174,14716,78,78,74,VICTORIA POINT|QLD,VICTORIA POINT|VIC,TAYLORS POINT|NSW
30776,BYADUK,NSW,,,10898,10171,10459,76,74,74,BYANGUM|NSW,BADJA|NSW,BINYA|NSW
30796,YATCHAW,NSW,,,15557,14709,14710,78,76,76,YATHELLA|NSW,TATHAM|NSW,TATHRA|NSW
30798,YULECART,NSW,,,23533,15589,13659,75,73,70,YULECART|VIC,YULUMA|NSW,NULLICA|NSW
30808,HOTSPUR,NSW,,,11095,21450,10002,75,73,72,CHATSBURY|NSW,HOTSPUR|VIC,ABBOTSBURY|NSW
30818,DRIK DRIK,NSW,,,20944,10705,11570,77,69,69,DRIK DRIK|VIC,BRIL BRIL|NSW,DRY CREEK|NSW
30820,DRUMBORG,NSW,,,11603,11406,11572,78,76,76,DUNMORE|NSW,CUMBO|NSW,DUBBO|NSW
30834,MYAMYN,NSW,,,12990,13056,13125,76,76,76,MANYANA|NSW,MAYRUNG|NSW,MIAMLEY|NSW
30838,ALLESTREE,NSW,,,12961,10340,20032,78,77,77,MALLEE|NSW,BELLTREES|NSW,ALLESTREE|VIC
30845,DUTTON WAY,NSW,,,20980,40458,40459,79,78,71,DUTTON WAY|VIC,DUTTON|SA,DUTTON EAST|SA
30861,DIGBY,NSW,,,13149,12383,10090,78,76,74,MILBY|NSW,INGEBYRA|NSW,ARDING|NSW
30880,CHETWYND,NSW,,,12275,20655,11086,76,75,74,HENTY|NSW,CHETWYND|VIC,CHARLESTOWN|NSW
30882,DERGHOLM,NSW,,,11672,11722,20893,76,75,75,EDROM|NSW,ERIGOLIA|NSW,DERGHOLM|VIC
30891,LAKE MUNDI,NSW,,,21729,12716,50937,79,77,77,LAKE MUNDI|VIC,LAKE MUNMORAH|NSW,LAKE MUIR|WA
30899,POOLAIJELO,NSW,,,13912,14861,15449,74,74,74,POONCARIE|NSW,TOOLIJOOA|NSW,WOOLGARLO|NSW
30915,CAVENDISH,NSW,,,11346,11077,20628,78,77,77,CRAVEN|NSW,CHAELUNDI|NSW,CAVENDISH|VIC
30923,WOOHLPOOER,NSW,,,15459,23429,15458,79,79,77,WOOLOOWARE|NSW,WOOHLPOOER|VIC,WOOLOOMA|NSW
30937,GRITJURK,NSW,,,21326,10456,11956,75,70,70,GRITJURK|VIC,BINJURA|NSW,GIRO|NSW
30949,PASCHENDALE,NSW,,,14005,13777,14107,76,74,74,RAVENSDALE|NSW,PALMDALE|NSW,ROSEDALE|NSW
30951,TAHARA BRIDGE,NSW,,,22934,10946,12784,76,74,72,TAHARA BRIDGE|VIC,CAMBRIDGE PARK|NSW,LETHBRIDGE PARK|NSW
30953,TARRAYOUKYAN,NSW,,,22977,14704,14705,75,73,73,TARRAYOUKYAN|VIC,TARRAGANDA|NSW,TARRAWANNA|NSW
30957,WOOTONG VALE,NSW,,,23449,15240,15468,75,74,74,WOOTONG VALE|VIC,WELLINGTON VALE|NSW,WOOTTON|NSW
30971,LANGKOOP,NSW,,,12748,10221,10320,78,76,75,LARNOOK|NSW,BANGO|NSW,BELANGLO|NSW
30975,PATYAH,NSW,,,13792,13813,15143,78,76,76,PARA|NSW,PATONGA|NSW,WARATAH|NSW
30977,ULLSWATER,NSW,,,14177,14925,14203,77,75,73,SALTWATER|NSW,TULLERA|NSW,SATUR|NSW
30985,HESSE,NSW,,,11736,12268,12274,75,74,74,ESK|NSW,HEBDEN|NSW,HENLEY|NSW
30995,DUVERNEY,NSW,,,11599,20981,11580,75,75,73,DUNGEREE|NSW,DUVERNEY|VIC,DUDLEY|NSW
30997,FOXHOW,NSW,,,11313,11866,12345,70,70,70,COROWA|NSW,FOXGROUND|NSW,HOWELL|NSW
31008,VITE VITE,NSW,,,23179,14747,14792,77,73,72,VITE VITE|VIC,TEVEN|NSW,THE VALE|NSW
31018,SHELFORD,NSW,,,14157,14221,14257,77,75,75,RUTHERFORD|NSW,SEAFORTH|NSW,SHERWOOD|NSW
31024,GHERINGHAP,NSW,,,21177,11724,13520,79,78,77,GHERINGHAP|VIC,ERINA|NSW,NEMINGHA|NSW
31028,RUSSELLS BRIDGE,NSW,,,22667,14155,13818,79,76,70,RUSSELLS BRIDGE|VIC,RUSSELL LEA|NSW,PAYTENS BRIDGE|NSW
31032,STEIGLITZ,NSW,,,33280,14745,14270,77,72,69,STEIGLITZ|QLD,TERRIGAL|NSW,SINGLETON|NSW
31064,FRASER RISE,NSW,,,11867,14049,21130,73,73,73,FRAZER PARK|NSW,RHINE FALLS|NSW,FRASER RISE|VIC
31066,HARKNESS,NSW,,,12250,10099,21358,77,75,75,HAWKS NEST|NSW,ARKSTONE|NSW,HARKNESS|VIC
31077,COBBLEBANK,NSW,,,20702,11255,11158,79,77,75,COBBLEBANK|VIC,COOLEMAN|NSW,COBAKI|NSW
31081,EYNESBURY,NSW,,,21068,10113,12530,77,75,75,EYNESBURY|VIC,ASHBURY|NSW,KENEBRI|NSW
