rowid,suburb_name,state,postcode,candidate_ssc,score,matched_canonical_key
29856,CAULFIELD EAST,NSW,,20623,83,CAULFIELD EAST|VIC
29862,DARLING SOUTH,NSW,,11002,83,CARINGBAH SOUTH|NSW
29864,MALVERN EAST,NSW,,21893,81,MALVERN EAST|VIC
29866,WATTLETREE ROAD PO,NSW,,23292,82,WATTLETREE ROAD PO|VIC
29872,ASHBURTON,NSW,,10113,83,ASHBURY|NSW
29880,HOLMESGLEN,NSW,,12317,83,HOLMESVILLE|NSW
29884,MOUNT WAVERLEY,NSW,,22189,83,MOUNT WAVERLEY|VIC
29890,BRANDON PARK,NSW,,10682,83,BRAY PARK|NSW
29892,GLEN WAVERLEY,NSW,,15216,83,WAVERLEY|NSW
29894,WHEELERS HILL,NSW,,23335,82,WHEELERS HILL|VIC
29896,BURWOOD EAST,NSW,,10886,81,BURWOOD|NSW
29901,STUDFIELD,NSW,,14226,81,SEDGEFIELD|NSW
29903,WANTIRNA,NSW,,15079,78,WAITARA|NSW
29905,WANTIRNA SOUTH,NSW,,23239,78,WANTIRNA SOUTH|VIC
29909,BAYSWATER NORTH,NSW,,20211,84,BAYSWATER NORTH|VIC
29916,LYSTERFIELD,NSW,,11134,83,CLEARFIELD|NSW
29918,LYSTERFIELD SOUTH,NSW,,11711,84,ENFIELD SOUTH|NSW
29920,MOUNTAIN GATE,NSW,,22191,82,MOUNTAIN GATE|VIC
29922,UPPER FERNTREE GULLY,NSW,,23156,83,UPPER FERNTREE GULLY|VIC
29924,UPWEY,NSW,,15237,78,WELBY|NSW
29934,BELGRAVE SOUTH,NSW,,10413,82,BEXLEY SOUTH|NSW
29944,CAULFIELD SOUTH,NSW,,11711,83,ENFIELD SOUTH|NSW
29948,BOORAN ROAD PO,NSW,,20359,78,BOORAN ROAD PO|VIC
29950,CARNEGIE,NSW,,10971,82,CANGAI|NSW
29952,GLEN HUNTLY,NSW,,21200,80,GLEN HUNTLY|VIC
29954,MURRUMBEENA,NSW,,13441,81,MURRUMBATEMAN|NSW
29956,DANDENONG SOUTH,NSW,,10951,80,CAMDEN SOUTH|NSW
29958,BENTLEIGH EAST,NSW,,20270,83,BENTLEIGH EAST|VIC
29960,COATESVILLE,NSW,,11130,83,CLAREVILLE|NSW
29962,HUGHESDALE,NSW,,21457,79,HUGHESDALE|VIC
29968,OAKLEIGH EAST,NSW,,22402,76,OAKLEIGH EAST|VIC
