SAL_CODE_2021,SAL_NAME,Total_Population,Median_Age,Median_Income,Household_Size,STATE_NAME,Census_Year
SAL10183,Bannaby,47,52,1125,2.2,NSW,2021
SAL10184,Bannister (NSW),141,52,2250,2.4,NSW,2021
SAL10185,Banoon,19,52,1208,2.0,NSW,2021
SAL10186,Banora Point,16460,49,1268,2.4,NSW,2021
SAL10187,Banyabba,31,56,1312,2.1,NSW,2021
SAL10188,Bar Beach,1292,41,2300,2.3,NSW,2021
SAL10189,Bar Point,122,52,1125,1.7,NSW,2021
SAL10190,Bara,19,51,1125,1.8,NSW,2021
SAL10191,Baradine,783,50,1034,2.2,NSW,2021
SAL10192,Barangaroo,220,40,4591,1.8,NSW,2021
SAL10193,Barcoongere,0,25,0,0.0,NSW,2021
SAL10194,Barden Ridge,4129,41,3134,3.3,NSW,2021
SAL10195,Bardia,5747,30,2417,3.5,NSW,2021
SAL10196,Bardwell Park,2320,42,2386,2.8,NSW,2021
SAL10197,Bardwell Valley,2344,42,2099,2.9,NSW,2021
SAL10198,Barellan,459,48,1262,2.2,NSW,2021
SAL10199,Bargo,4516,41,1736,2.8,NSW,2021
SAL10200,Barham,1569,58,995,2.1,NSW,2021
SAL10201,Barigan,0,0,0,0.0,NSW,2021
SAL10202,Barkers Vale,196,50,784,2.4,NSW,2021
SAL10203,Barmedman,404,48,864,2.4,NSW,2021
SAL10204,Barneys Reef,0,0,0,0.0,NSW,2021
SAL10205,Barnsley,1735,39,1784,2.7,NSW,2021
SAL10206,Barooga,1888,46,1375,2.3,NSW,2021
SAL10207,Barraba,1329,58,776,1.9,NSW,2021
SAL10208,Barrack Heights,6003,41,1340,2.5,NSW,2021
SAL10209,Barrack Point,725,48,1836,2.6,NSW,2021
SAL10210,Barraganyatti,150,45,1149,2.6,NSW,2021
SAL10211,Barragga Bay,91,63,1187,2.1,NSW,2021
SAL10212,Barratta (NSW),12,41,2249,1.8,NSW,2021
SAL10213,Barren Grounds,0,0,0,0.0,NSW,2021
SAL10214,Barrengarry,214,50,2062,2.5,NSW,2021
SAL10215,Barretts Creek,12,55,749,3.0,NSW,2021
SAL10216,Barringella,30,52,2624,2.6,NSW,2021
SAL10217,Barrington (NSW),394,55,1262,2.3,NSW,2021
SAL10218,Barrington Tops,0,57,350,1.0,NSW,2021
SAL10219,Barry (Blayney - NSW),153,45,1437,2.4,NSW,2021
SAL10220,Barry (Tamworth Regional - NSW),0,26,0,0.0,NSW,2021
SAL10221,Barwang,139,46,1875,2.6,NSW,2021
SAL10222,Baryulgil,20,49,725,3.4,NSW,2021
SAL10223,Basin View,1583,48,1244,2.4,NSW,2021
SAL10224,Bass Hill,10230,34,1411,3.3,NSW,2021
SAL10225,Bassendean (NSW),5,22,0,4.0,NSW,2021
SAL10226,Batar Creek,93,51,2071,2.8,NSW,2021
SAL10227,Bateau Bay,12516,42,1475,2.5,NSW,2021
SAL10228,Batehaven,1911,54,1128,2.0,NSW,2021
SAL10229,Batemans Bay,1573,53,791,1.8,NSW,2021
SAL10230,Bathampton,40,54,1625,2.5,NSW,2021
SAL10231,Bathurst,7001,41,1209,1.9,NSW,2021
SAL10232,Batlow,1270,49,1064,2.2,NSW,2021
SAL10233,Baulkham Hills,37415,39,2474,3.0,NSW,2021
SAL10234,Baw Baw (NSW),271,45,2178,2.8,NSW,2021
SAL10235,Bawley Point,844,56,1240,2.2,NSW,2021
SAL10236,Baxters Ridge,0,0,0,0.0,NSW,2021
SAL10237,Bayview (NSW),3807,58,1885,2.3,NSW,2021
SAL10238,Beacon Hill,7814,41,2937,3.2,NSW,2021
SAL10239,Beaconsfield (NSW),1172,33,3061,2.4,NSW,2021
SAL10240,Bean Creek,56,59,762,2.1,NSW,2021
SAL10241,Bearbong,72,38,1437,3.1,NSW,2021
SAL10242,Beaumont (NSW),117,63,1875,2.4,NSW,2021
SAL10243,Beaumont Hills,9041,38,3308,3.5,NSW,2021
SAL10244,Beckom,123,42,1125,2.7,NSW,2021
SAL10245,Bective,194,49,1575,2.4,NSW,2021
SAL10246,Bectric,53,41,1208,2.8,NSW,2021
SAL10247,Bedgerabong,127,45,1375,2.5,NSW,2021
SAL10248,Beechwood,914,37,1516,2.8,NSW,2021
SAL10249,Beecroft,10291,43,2962,3.0,NSW,2021
SAL10250,Beecroft Peninsula,0,66,725,1.0,NSW,2021
SAL10251,Beelbangera,358,39,1786,2.6,NSW,2021
SAL10252,Beemunnel,34,38,2749,2.9,NSW,2021
SAL10253,Bega,5013,43,1196,2.3,NSW,2021
SAL10254,Beggan Beggan,128,31,2139,2.8,NSW,2021
SAL10255,Belanglo,22,53,2250,2.5,NSW,2021
SAL10256,Belbora,123,55,971,2.1,NSW,2021
SAL10257,Belfield,6555,40,1727,2.9,NSW,2021
SAL10258,Belford,176,44,2833,3.4,NSW,2021
SAL10259,Belfrayden,12,54,575,1.4,NSW,2021
SAL10260,Belgravia,124,42,2083,2.6,NSW,2021
SAL10261,Belimbla Park,576,39,2213,3.3,NSW,2021
SAL10262,Bell (NSW),44,41,1149,2.4,NSW,2021
SAL10263,Bella Vista,8384,40,3518,3.4,NSW,2021
SAL10264,Bellambi,4039,38,1183,2.3,NSW,2021
SAL10265,Bellangry,114,54,1149,2.2,NSW,2021
SAL10266,Bellata,266,45,1284,2.4,NSW,2021
SAL10267,Bellawongarah,116,62,2187,2.2,NSW,2021
SAL10268,Bellbird,2338,34,1427,2.7,NSW,2021
SAL10269,Bellbird Heights,805,40,1487,2.6,NSW,2021
SAL10270,Bellbrook,339,49,858,2.4,NSW,2021
SAL10271,Bellevue Hill,10590,39,3315,2.5,NSW,2021
SAL10272,Bellimbopinni,82,41,1187,2.3,NSW,2021
SAL10273,Bellingen,3923,44,1268,2.4,NSW,2021
SAL10274,Bellmount Forest,120,49,2812,2.6,NSW,2021
SAL10275,Belltrees,37,32,2750,3.5,NSW,2021
SAL10276,Belmont (NSW),7289,48,1280,2.2,NSW,2021
SAL10277,Belmont North,6291,40,1739,2.6,NSW,2021
SAL10278,Belmont South,1053,48,1239,2.3,NSW,2021
SAL10279,Belmore,13781,38,1456,2.6,NSW,2021
SAL10280,Belmore River,268,51,1292,2.5,NSW,2021
SAL10281,Beloka,20,57,2750,2.9,NSW,2021
SAL10282,Belowra,5,50,1499,1.5,NSW,2021
SAL10283,Belrose,8726,46,2598,2.9,NSW,2021
SAL10284,Bemboka,589,50,1015,2.3,NSW,2021
SAL10285,Ben Bullen,71,55,1562,2.3,NSW,2021
SAL10286,Ben Lomond (NSW),135,47,1231,2.4,NSW,2021
SAL10287,Benandarah,165,57,1025,2.1,NSW,2021
SAL10288,Bendalong,135,55,1224,2.3,NSW,2021
SAL10289,Bendemeer,486,52,1021,2.3,NSW,2021
SAL10290,Bendick Murrell,143,56,1152,2.1,NSW,2021
SAL10291,Bendolba,253,37,1625,2.8,NSW,2021
SAL10292,Bendoura,108,43,1416,2.6,NSW,2021
SAL10293,Benerembah,140,28,2125,3.0,NSW,2021
SAL10294,Bengalla,16,46,1875,2.4,NSW,2021
SAL10295,Bennetts Green,0,72,900,2.0,NSW,2021
SAL10296,Benolong,76,32,1843,3.4,NSW,2021
SAL10297,Bensville,2500,42,2176,2.9,NSW,2021
SAL10298,Bentley (NSW),225,53,1212,2.6,NSW,2021
SAL10299,Berala,8757,37,1552,3.0,NSW,2021
SAL10300,Berambing,104,47,2035,2.6,NSW,2021
SAL10301,Beresfield,3267,39,1257,2.3,NSW,2021
SAL10302,Bergalia,180,51,1541,2.7,NSW,2021
SAL10303,Berkeley,7798,40,1217,2.5,NSW,2021
SAL10304,Berkeley Vale,8951,36,1791,2.7,NSW,2021
SAL10305,Berkshire Park,2149,37,2036,3.2,NSW,2021
SAL10306,Berlang,0,0,0,0.0,NSW,2021
SAL10307,Bermagui,1865,58,1022,2.1,NSW,2021
SAL10308,Berowra,4762,41,2781,3.0,NSW,2021
SAL10309,Berowra Heights,5286,42,2468,2.9,NSW,2021
SAL10310,Berowra Waters,169,56,1812,2.1,NSW,2021
SAL10311,Berrambool,486,46,1136,2.2,NSW,2021
SAL10312,Berrara,333,59,1269,2.2,NSW,2021
SAL10313,Berremangra,87,51,1541,2.4,NSW,2021
SAL10314,Berrico,33,55,1406,2.2,NSW,2021
SAL10315,Berridale,1300,45,1455,2.3,NSW,2021
SAL10316,Berrigal,39,41,612,3.1,NSW,2021
SAL10317,Berrigan,1264,55,980,2.2,NSW,2021
SAL10318,Berrilee,212,51,2349,2.9,NSW,2021
SAL10319,Berrima,813,52,2100,2.5,NSW,2021
SAL10320,Berringer Lake,30,49,900,2.0,NSW,2021
SAL10321,Berry,3098,57,1495,2.3,NSW,2021
SAL10322,Berry Jerry,82,43,2156,2.6,NSW,2021
SAL10323,Berry Mountain,29,65,2250,1.9,NSW,2021
SAL10324,Berry Park,182,61,1125,2.3,NSW,2021
SAL10325,Berthong,65,32,2250,3.3,NSW,2021
SAL10326,Beryl,117,48,1583,2.6,NSW,2021
SAL10327,Bethungra,137,57,1016,1.9,NSW,2021
SAL10328,Bevendale,45,55,1208,1.9,NSW,2021
SAL10329,Beverley Park,2646,42,2242,2.9,NSW,2021
SAL10330,Beverly Hills,10483,40,1862,2.9,NSW,2021
SAL10331,Bewong,80,41,1774,2.5,NSW,2021
SAL10332,Bexhill,528,44,1704,2.6,NSW,2021
SAL10333,Bexley,19646,40,1870,2.9,NSW,2021
SAL10334,Bexley North,4281,42,1894,2.7,NSW,2021
SAL10335,Biala,84,38,2125,2.8,NSW,2021
SAL10336,Bibbenluke,82,52,1357,2.3,NSW,2021
SAL10337,Biddon,123,38,1300,2.5,NSW,2021
SAL10338,Bidgeemia,32,54,2250,2.4,NSW,2021
SAL10339,Bidwill (NSW),4202,30,899,2.8,NSW,2021
SAL10340,Bielsdown Hills,104,56,1343,2.4,NSW,2021
SAL10341,Big Hill (NSW),78,53,2333,2.6,NSW,2021
SAL10342,Big Jacks Creek,61,44,2124,2.4,NSW,2021
SAL10343,Big Ridge,16,59,1666,2.0,NSW,2021
SAL10344,Big Springs,135,49,1708,2.7,NSW,2021
SAL10345,Bigga,268,57,875,2.0,NSW,2021
SAL10346,Bilambil,441,45,1385,2.8,NSW,2021
SAL10347,Bilambil Heights,3491,44,1562,2.6,NSW,2021
SAL10348,Bilbul,586,43,2025,2.7,NSW,2021
SAL10349,Bilgola Beach,251,54,4299,2.5,NSW,2021
SAL10350,Bilgola Plateau,3650,46,2856,2.9,NSW,2021
SAL10351,Billeroy,31,51,1875,2.7,NSW,2021
SAL10352,Billilingra,7,51,2250,2.7,NSW,2021
SAL10353,Billimari,117,50,1375,2.2,NSW,2021
SAL10354,Billinudgel,261,43,1474,2.7,NSW,2021
SAL10355,Billys Creek,79,53,491,1.9,NSW,2021
SAL10356,Billywillinga,196,45,1843,2.7,NSW,2021
SAL10357,Bilpin,653,48,1692,2.6,NSW,2021
SAL10358,Bimberi,0,0,0,0.0,NSW,2021
SAL10359,Bimbi,71,49,1781,2.6,NSW,2021
SAL10360,Bimbimbie,113,43,1666,2.9,NSW,2021
SAL10361,Binalong,550,45,1433,2.3,NSW,2021
SAL10362,Binda,291,45,1325,2.3,NSW,2021
SAL10363,Bindera,32,65,962,1.7,NSW,2021
SAL10364,Bingara,1318,61,853,2.0,NSW,2021
SAL10365,Bingeebeebra Creek,39,52,1333,2.4,NSW,2021
SAL10366,Bingie,205,61,1125,2.1,NSW,2021
SAL10367,Bingleburra,36,58,900,2.6,NSW,2021
SAL10368,Biniguy,159,33,1474,2.8,NSW,2021
SAL10369,Binjura,339,48,2042,2.6,NSW,2021
SAL10370,Binna Burra (NSW),223,39,2113,3.0,NSW,2021
SAL10371,Binnaway,658,54,782,2.0,NSW,2021
SAL10372,Binya,122,42,1875,3.1,NSW,2021
SAL10373,Birchgrove,3228,46,3603,2.4,NSW,2021
SAL10374,Birdwood (NSW),34,63,624,1.8,NSW,2021
SAL10375,Birganbigil,59,41,1600,2.9,NSW,2021
SAL10376,Birmingham Gardens,2598,28,1468,2.6,NSW,2021
SAL10377,Birriwa,45,47,1624,2.3,NSW,2021
SAL10378,Birrong,3331,36,1575,3.2,NSW,2021
SAL10379,Bishops Bridge,218,43,1949,2.8,NSW,2021
SAL10380,Bithramere,163,51,1625,2.6,NSW,2021
SAL10381,Black Creek (Port Macquarie-Hastings - NSW),47,59,1416,2.3,NSW,2021
SAL10382,Black Creek (Snowy Valleys - NSW),16,23,1375,3.8,NSW,2021
SAL10383,Black Head,972,65,1053,2.0,NSW,2021
SAL10384,Black Hill (NSW),516,47,2980,3.2,NSW,2021
SAL10385,Black Hollow,11,56,1375,2.0,NSW,2021
SAL10386,Black Mountain (NSW),291,47,1768,2.6,NSW,2021
SAL10387,Black Range (NSW),230,42,1625,2.8,NSW,2021
SAL10388,Black Springs (NSW),227,46,1774,2.5,NSW,2021
SAL10389,Blackalls Park,2812,43,1422,2.5,NSW,2021
SAL10390,Blackbutt (NSW),3291,43,1604,2.6,NSW,2021
SAL10391,Blackett,3586,31,1174,2.9,NSW,2021
SAL10392,Blackheath,4672,53,1332,2.0,NSW,2021
SAL10393,Blackmans Flat,22,38,2250,3.8,NSW,2021
SAL10394,Blackmans Point,178,58,737,1.9,NSW,2021
SAL10395,Blacksmiths,1881,50,1252,2.3,NSW,2021
SAL10396,Blacktown,50961,34,1774,2.9,NSW,2021
SAL10397,Blackville,128,45,1416,2.7,NSW,2021
SAL10398,Blackwall (NSW),1941,45,1449,2.2,NSW,2021
SAL10399,Blair Athol (NSW),2725,37,2389,3.4,NSW,2021
SAL10400,Blairmount,409,33,1792,3.1,NSW,2021
SAL10401,Blakebrook,132,47,1825,2.5,NSW,2021
SAL10402,Blakehurst,6652,43,2474,3.1,NSW,2021
SAL10403,Blakney Creek,92,39,2374,2.6,NSW,2021
SAL10404,Bland,61,29,1437,3.1,NSW,2021
SAL10405,Blandford,205,51,1449,2.0,NSW,2021
SAL10406,Blaxland (NSW),7434,41,2171,2.7,NSW,2021
SAL10407,Blaxlands Creek,113,55,1531,2.8,NSW,2021
SAL10408,Blaxlands Ridge,589,39,2764,3.4,NSW,2021
SAL10409,Blayney,3448,38,1383,2.5,NSW,2021
SAL10410,Bligh Park,6220,32,2029,2.8,NSW,2021
SAL10411,Blighty,192,36,1374,2.8,NSW,2021
SAL10412,Blowering,3,72,450,1.0,NSW,2021
SAL10413,Blue Bay,1060,52,1323,2.1,NSW,2021
SAL10414,Blue Haven,6563,33,1608,2.9,NSW,2021
SAL10415,Blue Knob,210,58,739,1.9,NSW,2021
SAL10416,Blue Mountains National Park,0,69,1625,1.0,NSW,2021
SAL10417,Blue Nobby,25,50,1624,2.5,NSW,2021
SAL10418,Blue Vale,81,38,2083,2.8,NSW,2021
SAL10419,Blueys Beach,242,64,1275,2.0,NSW,2021
SAL10420,Boambee,1770,47,2048,2.9,NSW,2021
SAL10421,Boambee East,5304,42,1407,2.5,NSW,2021
SAL10422,Boambolo,79,36,2312,2.9,NSW,2021
SAL10423,Boat Harbour (Lismore - NSW),19,38,2374,2.9,NSW,2021
SAL10424,Boat Harbour (Port Stephens - NSW),993,47,1741,2.6,NSW,2021
SAL10425,Bobadah,30,43,1937,2.7,NSW,2021
SAL10426,Bobin,141,55,1083,2.3,NSW,2021
SAL10427,Bobs Creek,119,46,1531,2.9,NSW,2021
SAL10428,Bobs Farm,662,57,1211,2.3,NSW,2021
SAL10429,Bobundara,27,44,900,2.4,NSW,2021
