ssc,suburb_name,state
14635,SYDNEY OLYMPIC PARK,NSW
15245,WENTWORTH POINT,NSW
14634,SYDNEY MARKETS,NSW
15247,WENTWORTHVILLE,NSW
15287,WESTMEAD,NSW
14865,TOONGABBIE,NSW
14866,TOONGABBIE EAST,NSW
15374,WINSTON HILLS,NSW
15571,YENNORA,NSW
15062,VILLAWOOD,NSW
15292,WETHERILL PARK,NSW
15293,WETHERILL PARK BC,NSW
15437,WOODPARK,NSW
15189,WARWICK FARM,NSW
15267,WEST HOXTON,NSW
15067,VOYAGER POINT,NSW
15208,WATTLE GROVE,NSW
15082,WAKELEY,NSW
15246,WENTWORTH PORT,NSW
15327,WILEY PARK,NSW
15508,YAGOONA,NSW
15509,YAGOONA WEST,NSW
14953,TURRELLA,NSW
15394,WOLLI CREEK,NSW
14985,UNDERCLIFFE,NSW
14642,SYLVANIA,NSW
14643,SYLVANIA SOUTHGATE,NSW
14644,SYLVANIA WATERS,NSW
15586,YOWIE BAY,NSW
14700,TAREN POINT,NSW
15187,WARUMBUL,NSW
15459,WOOLOOWARE,NSW
14979,ULOOLA,NSW
15188,WARUMBUL,NSW
15204,WATTAMOLLA,NSW
15472,WORONORA,NSW
15567,YENABILLI,NSW
15194,WATERFALL,NSW
15474,WORONORA HEIGHTS,NSW
15546,YARRAWARRAH,NSW
14708,TASCOTT,NSW
14724,TEN MILE HOLLOW,NSW
15019,UPPER MANGROVE,NSW
15242,WENDOREE PARK,NSW
15265,WEST GOSFORD,NSW
15499,WYOMING,NSW
15558,YATTALUNGA,NSW
15417,WONDABYNE,NSW
15478,WOY WOY,NSW
15479,WOY WOY BAY,NSW
14981,UMINA BEACH,NSW
15077,WAGSTAFFE,NSW
14650,TACOMA,NSW
14651,TACOMA SOUTH,NSW
14919,TUGGERAH,NSW
14920,TUGGERAWONG,NSW
15068,WADALBA,NSW
15105,WALLARAH,NSW
15158,WARNERVALE,NSW
15193,WATANOBBI,NSW
15464,WOONGARRAH,NSW
15491,WYBUNG,NSW
15492,WYEE,NSW
15493,WYEE POINT,NSW
15500,WYONG,NSW
15501,WYONG CREEK,NSW
15502,WYONGAH,NSW
15535,YARRAMALONG,NSW
14745,TERRIGAL,NSW
15122,WAMBERAL,NSW
14761,THE ENTRANCE,NSW
14762,THE ENTRANCE NORTH,NSW
14876,TOOWOON BAY,NSW
14931,TUMBI UMBI,NSW
14886,TOUKLEY,NSW
15359,WINDERMERE PARK,NSW
15548,YARRAWONGA PARK,NSW
15136,WANGI WANGI,NSW
15081,WAKEFIELD,NSW
15052,VALENTINE,NSW
15157,WARNERS BAY,NSW
14879,TORONTO,NSW
14732,TERALBA,NSW
15438,WOODRISING,NSW
15275,WEST WALLSEND,NSW
15116,WALLSEND,NSW
15117,WALLSEND DC,NSW
15118,WALLSEND SOUTH,NSW
14831,TINGIRA HEIGHTS,NSW
15307,WHITEBRIDGE,NSW
14772,THE JUNCTION,NSW
15318,WICKHAM,NSW
14817,TIGHES HILL,NSW
15143,WARATAH,NSW
15144,WARATAH WEST,NSW
14771,THE HILL,NSW
15142,WARABROOK,NSW
15353,WINDALE,NSW
14993,UPPER ALLYN,NSW
15333,WILLIAMTOWN RAAF,NSW
14714,TAYLORS BEACH,NSW
15332,WILLIAMTOWN,NSW
14680,TANILBA BAY,NSW
14822,TILLIGERRY CREEK,NSW
14718,TELARAH,NSW
15100,WALLALONG,NSW
15355,WINDELLA,NSW
15358,WINDERMERE,NSW
15386,WOERDEN,NSW
15446,WOODVILLE,NSW
14707,TARRO,NSW
14803,THORNTON,NSW
14846,TOMAGO,NSW
15423,WOODBERRY,NSW
14725,TENAMBIT,NSW
14652,TAHLEE,NSW
14717,TEA GARDENS,NSW
14960,TWELVE MILE CREEK,NSW
15108,WALLAROO,NSW
15192,WATAGAN,NSW
15396,WOLLOMBI,NSW
15513,YALLAMBIE,NSW
15569,YENGO,NSW
15570,YENGO NATIONAL PARK,NSW
15288,WESTON,NSW
15319,WIDDEN,NSW
15545,YARRAWA,NSW
14971,UARBRY,NSW
15155,WARKWORTH,NSW
15209,WATTLE PONDS,NSW
15279,WESTBROOK,NSW
15310,WHITTINGHAM,NSW
15393,WOLLEMI,NSW
15495,WYLIES FLAT,NSW
15490,WYBONG,NSW
15005,UPPER DARTBROOK,NSW
15027,UPPER ROUCHEL,NSW
14848,TOMALLA,NSW
15217,WAVERLY,NSW
15370,WINGEN,NSW
15458,WOOLOOMA,NSW
14827,TIMOR,NSW
15164,WARRAH,NSW
15165,WARRAH CREEK,NSW
15341,WILLOW TREE,NSW
14675,TAMINDA,NSW
14676,TAMWORTH,NSW
14677,TAMWORTH SOUTH,NSW
14826,TIMBUMBURI,NSW
15101,WALLAMORE,NSW
15167,WARRAL,NSW
15221,WEABONGA,NSW
15274,WEST TAMWORTH,NSW
15281,WESTDALE,NSW
15457,WOOLOMIN,NSW
15257,WERRIS CREEK,NSW
15090,WALHALLOW,NSW
15092,WALLABADAH,NSW
15166,WARRAH RIDGE,NSW
15365,WINDY,NSW
15523,YANNERGEE,NSW
15536,YARRAMAN,NSW
15375,WINTON,NSW
15020,UPPER MANILLA,NSW
15159,WARRABAH,NSW
15351,WIMBORNE,NSW
15421,WONGO CREEK,NSW
14797,THIRLDENE,NSW
14799,THIRLOENE,NSW
15012,UPPER HORTON,NSW
15441,WOODSREEF,NSW
14751,THALGARRAH,NSW
14820,TILBUSTER,NSW
15148,WARDS MISTAKE,NSW
15259,WEST ARMIDALE,NSW
15397,WOLLOMOMBI,NSW
15422,WONGWIBINDA,NSW
14988,UNIVERSITY OF NEW ENGLAND,NSW
14835,TINTINHULL,NSW
15033,UPPER YARROWITCH,NSW
15086,WALCHA,NSW
15087,WALCHA ROAD,NSW
15406,WOLLUN,NSW
15448,WOOLBROOK,NSW
15552,YARROWITCH,NSW
15203,WATSONS CREEK,NSW
14682,TANNABAR,NSW
14973,ULAMAMBRI,NSW
15211,WATTLE SPRINGS,NSW
15561,YEARINAN,NSW
14881,TORRYBURN,NSW
15036,URALLA,NSW
15553,YARROWYCK,NSW
15103,WALLANGRA,NSW
15130,WANDERA,NSW
15442,WOODSTOCK,NSW
14730,TENTERDEN,NSW
14755,THE BASIN,NSW
14768,THE GULF,NSW
14911,TUBBAMURRA,NSW
15132,WANDSWORTH,NSW
14830,TINGHA,NSW
15238,WELLINGROVE,NSW
15551,YARROWFORD,NSW
14729,TENT HILL,NSW
14769,THE GULF,NSW
14880,TORRINGTON,NSW
14940,TUNGSTEN,NSW
15240,WELLINGTON VALE,NSW
15563,YELLOW DAM,NSW
14693,TARBAN,NSW
14731,TENTERFIELD,NSW
14787,THE SCRUB,NSW
14824,TIMBARRA,NSW
15344,WILLSONS DOWNFALL,NSW
15439,WOODSIDE,NSW
15494,WYLIE CREEK,NSW
14672,TAMBAR SPRINGS,NSW
15222,WEAN,NSW
